artist|song|youtube_key|spotify_key
Damon Albarn|Heavy Seas Of Love {Ft. Brian Eno & The Leytonstone City Mission Choir}|QPrfbZChciE|
Damon Albarn|Everyday Robots|rjbiUj-FD-o|
Damon Albarn|Mr Tembo|ODG3VRkncBc|
Dan Kelly|Melbourne Vs Sydney|0X2WgFnZqbY|
Dan Sultan|No More Explanations|JyFWk1iFjtI|
Dan Sultan|Ain't Thinking About You||
Dan Sultan|Southern Sun {Like A Version 2014}|MSJN1G1ivII|
Dan Sultan|Dirty Ground|2j4uV4nrvAE|
Dan Sultan|High Street Riot|zJnrscrmm1w|
Dan Sultan|The Same Man|02SVwEZudWc|
Dan Sultan|Can't Blame Me||
Dan Sultan|Kimberley Calling|9z6SyjaPbMg|
Dangerous Dan & Nicky Night Time|California|UgUpY0VrOho|
Daniel Avery|Drone Logic|q8sVG8HhK-Y|
Daniel Lee Kendall|Rock With You {Like A Version 2014}|T03-1bFBKRc|
Daniel Lee Kendall|Emptiness||
Daniel Lee Kendall|Under A Spell|ItbguFT9-cM|
Daniel Lee Kendall|Angelique|wFWYmtHX4gc|
Darius|Espoir|6c9ZlkEzc6M|
Darius|Hot Hands|3dUV58TIM2U|
Darlia|Candyman|5p9yXgxfVyE|
Darlia|Stars Are Aligned|httVhI_9PTw|
Darlia|Dear Diary|hN6qSlC5Ijs|
Dave Rennick|Boys|ijllwnjDy3Q|
Davey Lane|Komarov|0OZQDx4caJQ|
