artist|song|youtube_key|spotify_key|jjj_preview
Allan Smithy|The Streets|wRqPpihbDiM||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/4525542c040f9fa481df10f3c81be1e9.mp3
Allday|Grammy|d7xlBGIzYHQ||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/b2ce5779bd6cb5a789ac527f5989d5d9.mp3
Allday|Coffin|noosNna4t7I||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/398b3e6f481af237ede7c7e29f951ea8.mp3
Ally Brown|Suburbia|grn5Al7xAwk||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/55658b0c7e264346d58ff00ebc7f2d3f.mp3
Alpine|Crunches|eHRram-OZUE||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/3c344d5e0b0cc49cb0b6122ac0cbed8b.mp3
Alpine|Cigarettes Will Kill You {triple j Like A Version}|O5wgNJl9ejo||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/b20bb11415d7a90254982f2c792e98b5.mp3
Alpine|Jellyfish|dF82p5kyxjA||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/0b690891bfd474343bd9740a730ac27d.mp3
Alpine|Up For Air|Zq3DVVhZEXg||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/db581dfa8137f85dbcedd3fd218d0dec.mp3
Alpine|Damn Baby|kO3uPZ_yHJ0||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/0b7e56c5ddb816b58330aff525b02467.mp3
Alpine|Foolish|z6I4MZUtCCo||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/7dbee97f1ebcf71d904a5730eac8dd8c.mp3
Alpine|Come On|||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/d6d29f3d9a49c182e753505e1351489c.mp3
Alpine|Shot Fox|1mOpdZxw_VA||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/5840cb8fccd2e09b81eb4727a2d413d9.mp3
Alyx Dennison|Jewels Are Just Lumps|JJC7WBgYYOw||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/a04b996046e83e1122a4161d064ced35.mp3
Amity Affliction, The|Skeletons|pA__i-XHO3c||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/61ccceaa2be9a089a430ee076237baa3.mp3
Amity Affliction, The|Shine On|NKupTHkz4d4||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/1303abeca6194cd7094a32577793ae50.mp3
Anderson .Paak|Am I Wrong {Ft. ScHoolboy Q}|0I5A5IWYztY||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/d504be2f8266970ad8dd0cadf1e090e8.mp3
Anderson .Paak|The Season/Carry Me|9lThLehzIqc||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/40ba49cdc55cf9bbad0bfc15976e7db8.mp3
Andras & Oscar|(I Know) What You Want|3zhQFfADFp4||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/d230d87d432a08fd250ce3e4dce8169d.mp3
Andrei Eremin|Anhedoniac {Ft. Kucka}|R54BOHHj6F4||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/341fc3840a962122150cf8787e745454.mp3
Angel Haze|Candlxs|rZZE7Mrs9BI||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/27ad75c626365ed63bd960842d3b790c.mp3
Angie|Down For The Count|ZUMJn042uqY||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/94f580c9ec07a82e540341482c4ac911.mp3
Angie|Out Of Age|A-9KwKkXuzY||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/efe14ebc8ab0c53ea9fb797dbcdbdcee.mp3
Angry Seas|Fish & Chips|||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/6914203e3d3c11a0b6fe2720376ddc25.mp3
Ann Vriend|A Need So Wide|KIGV8BxfmSs||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/7857d2163ef737cd1de08ae5832977a9.mp3
Anna B Savage|I|EPQr-p8rpqQ||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/d9c886c631bdbbd39c91be382e7ccbd3.mp3
Anna O|Wish I Said|UeT5JyzLkgc||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/dc5839771670b6fbcf4d32b69657dfdf.mp3
Anna O|Whisper|8nGMLP7NTq4||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/d9a01114586078581bd6f709d75eefb8.mp3
Anna O|Close My Eyes {Ft. Angus Dawson}|||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/35ef3ca1cf2eb9ba4fce8eed8e77fffc.mp3
